"s","nationality","birthYear"
"http://fr.dbpedia.org/resource/Domenico_Ferri_(architecte)","http://fr.dbpedia.org/resource/Italiens",1795
"http://fr.dbpedia.org/resource/Dominique_Girard","http://fr.dbpedia.org/resource/France",1829
"http://fr.dbpedia.org/resource/Donald_Judd","http://fr.dbpedia.org/resource/États-Unis",1928
"http://fr.dbpedia.org/resource/Dora_Gordine","http://fr.dbpedia.org/resource/Empire_russe",1895
"http://fr.dbpedia.org/resource/Dora_Gordine","http://fr.dbpedia.org/resource/Estonie",1895
"http://fr.dbpedia.org/resource/Dragiša_Brašovan","http://fr.dbpedia.org/resource/Yougoslaves",1887
"http://fr.dbpedia.org/resource/Dragutin_Đorđević","http://fr.dbpedia.org/resource/Serbie",1866
"http://fr.dbpedia.org/resource/Edgar_Johan_Kuusik","http://fr.dbpedia.org/resource/Estonie",1888
"http://fr.dbpedia.org/resource/Edmond_Brion","http://fr.dbpedia.org/resource/France",1885
"http://fr.dbpedia.org/resource/Edmond_Jamar","http://fr.dbpedia.org/resource/Belgique",1853
"http://fr.dbpedia.org/resource/Edmond_Leclef","http://fr.dbpedia.org/resource/Belgique",1842
"http://fr.dbpedia.org/resource/Edmund_Roman_Orlik","http://fr.dbpedia.org/resource/Pologne",1918
"http://fr.dbpedia.org/resource/Edmund_Sharpe","http://fr.dbpedia.org/resource/Royaume-Uni",1809
"http://fr.dbpedia.org/resource/Eduard_Lanz","http://fr.dbpedia.org/resource/Suisse",1886
"http://fr.dbpedia.org/resource/Eduard_van_der_Nüll","http://fr.dbpedia.org/resource/Autriche",1812
"http://fr.dbpedia.org/resource/Eduardo_Kapstein","http://fr.dbpedia.org/resource/Chili",1914
"http://fr.dbpedia.org/resource/Eduardo_Souto_de_Moura","http://fr.dbpedia.org/resource/Portugal",1952
"http://fr.dbpedia.org/resource/Edward_Welby_Pugin","http://fr.dbpedia.org/resource/Royaume-Uni",1834
"http://fr.dbpedia.org/resource/Eero_Aarnio","http://fr.dbpedia.org/resource/Finlande",1932
"http://fr.dbpedia.org/resource/Egill_Reimers","http://fr.dbpedia.org/resource/Norvège",1878
"http://fr.dbpedia.org/resource/Einari_Teräsvirta","http://fr.dbpedia.org/resource/Finlande",1914
"http://fr.dbpedia.org/resource/Eino_Pitkänen","http://fr.dbpedia.org/resource/Finlande",1904
"http://fr.dbpedia.org/resource/Elisabeth_Scott","http://fr.dbpedia.org/resource/Royaume-Uni",1898
"http://fr.dbpedia.org/resource/Elissa_Aalto","http://fr.dbpedia.org/resource/Finlande",1922
"http://fr.dbpedia.org/resource/Elsi_Borg","http://fr.dbpedia.org/resource/Finlande",1893
"http://fr.dbpedia.org/resource/Emil_Hoppe","http://fr.dbpedia.org/resource/Autriche",1876
"http://fr.dbpedia.org/resource/Emil_Wikström","http://fr.dbpedia.org/resource/Finlande",1864
"http://fr.dbpedia.org/resource/Emilio_Ambasz","http://fr.dbpedia.org/resource/Argentine",1943
"http://fr.dbpedia.org/resource/Emmanuel_Cateland","http://fr.dbpedia.org/resource/France",1876
"http://fr.dbpedia.org/resource/Emmanuel_Héré","http://fr.dbpedia.org/resource/Duché_de_Lorraine",1705
"http://fr.dbpedia.org/resource/Enrique_María_Repullés_y_Vargas","http://fr.dbpedia.org/resource/Espagne",1845
"http://fr.dbpedia.org/resource/Enrique_Maya","http://fr.dbpedia.org/resource/Espagne",1959
"http://fr.dbpedia.org/resource/Erik_Bryggman","http://fr.dbpedia.org/resource/Finlande",1891
"http://fr.dbpedia.org/resource/Erik_Dahlbergh","http://fr.dbpedia.org/resource/Suède",1625
"http://fr.dbpedia.org/resource/Ernest_Blerot","http://fr.dbpedia.org/resource/Nationalité_belge",1870
"http://fr.dbpedia.org/resource/Ernest_Brunnarius","http://fr.dbpedia.org/resource/France",1857
"http://fr.dbpedia.org/resource/Ernest_Delune","http://fr.dbpedia.org/resource/Belgique",1859
"http://fr.dbpedia.org/resource/Ernest_Dieltiens","http://fr.dbpedia.org/resource/Belgique",1848
"http://fr.dbpedia.org/resource/Ernest_François_Dainville","http://fr.dbpedia.org/resource/France",1824
"http://fr.dbpedia.org/resource/Ernst_Bernhard_Lohrmann","http://fr.dbpedia.org/resource/Finlande",1803
